trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
58,False,"{'a': 0.1, 'e': 0.5655254386995371}",20,6,8.69662192165963,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
59,False,"{'a': 0.1, 'e': 0.559898366565402}",20,0,-111.08119501781346,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
60,False,"{'a': 0.1, 'e': 0.5543272847345071}",25,0,-86.50953478987762,"{0: 20, 1: 2, 2: 0, 3: 1, 4: 2}",0
61,False,"{'a': 0.1, 'e': 0.5488116360940265}",30,12,-11.96557170375192,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 0}",1
62,False,"{'a': 0.1, 'e': 0.5433508690744998}",20,0,-81.74386487118846,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
63,False,"{'a': 0.1, 'e': 0.5379444375946745}",20,0,-41.14717807984369,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
64,False,"{'a': 0.1, 'e': 0.5325918010068972}",25,0,-104.07547214929613,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
65,False,"{'a': 0.1, 'e': 0.5272924240430485}",20,0,-140.92161366417602,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 4}",1
66,False,"{'a': 0.1, 'e': 0.522045776761016}",25,0,-21.39812486634171,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 0}",0
67,False,"{'a': 0.1, 'e': 0.5168513344916992}",20,5,10.537287563164522,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
68,False,"{'a': 0.1, 'e': 0.5117085777865424}",20,0,-84.8321741517809,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 2}",0
69,False,"{'a': 0.1, 'e': 0.5066169923655895}",25,8,-20.781301112305073,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 1}",1
70,False,"{'a': 0.1, 'e': 0.5015760690660555}",20,7,-14.519112084522293,"{0: 9, 1: 2, 2: 2, 3: 0, 4: 0}",1
71,False,"{'a': 0.1, 'e': 0.49658530379140947}",20,0,-7.848148709253742,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
72,False,"{'a': 0.1, 'e': 0.4916441974609651}",20,0,-33.02585572624923,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
73,False,"{'a': 0.1, 'e': 0.4867522559599717}",25,5,-20.24179980439032,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",1
74,False,"{'a': 0.1, 'e': 0.48190899009020244}",30,0,-93.43953987748894,"{0: 22, 1: 0, 2: 6, 3: 1, 4: 1}",0
75,False,"{'a': 0.1, 'e': 0.4771139155210344}",25,0,-9.096148797740405,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
76,False,"{'a': 0.1, 'e': 0.4723665527410147}",20,0,-27.866057870761406,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
77,False,"{'a': 0.1, 'e': 0.46766642700990924}",25,0,-87.1665205617302,"{0: 19, 1: 3, 2: 1, 3: 0, 4: 2}",0
78,False,"{'a': 0.1, 'e': 0.46301306831122807}",20,0,-48.578772740956616,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
79,False,"{'a': 0.1, 'e': 0.4584060113052235}",30,0,-71.48605644313679,"{0: 22, 1: 3, 2: 3, 3: 1, 4: 1}",0
80,False,"{'a': 0.1, 'e': 0.45384479528235583}",20,0,-78.73870976543132,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
81,False,"{'a': 0.1, 'e': 0.44932896411722156}",30,0,-139.82317256429755,"{0: 21, 1: 0, 2: 5, 3: 2, 4: 2}",0
82,False,"{'a': 0.1, 'e': 0.4448580662229411}",20,0,-87.01998095936796,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
83,False,"{'a': 0.1, 'e': 0.44043165450599925}",20,0,-75.18280066555123,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
84,False,"{'a': 0.1, 'e': 0.43604928632153556}",30,0,-125.77490946561328,"{0: 25, 1: 0, 2: 0, 3: 2, 4: 3}",0
85,False,"{'a': 0.1, 'e': 0.43171052342907973}",35,0,-143.08414438959076,"{0: 25, 1: 1, 2: 6, 3: 0, 4: 3}",0
86,False,"{'a': 0.1, 'e': 0.4274149319487267}",25,0,18.083571549016455,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
87,False,"{'a': 0.1, 'e': 0.4231620823177488}",25,6,-44.74517613821137,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 1}",1
88,False,"{'a': 0.1, 'e': 0.418951549247639}",30,7,5.736710434292815,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 0}",1
89,False,"{'a': 0.1, 'e': 0.4147829116815814}",20,3,-32.511612700853995,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 1}",1
90,False,"{'a': 0.1, 'e': 0.4106557527523455}",20,12,7.898278446007756,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.1, 'e': 0.4065696597405991}",25,7,-22.086459579149768,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 1}",1
92,False,"{'a': 0.1, 'e': 0.40252422403363597}",20,5,-9.797931077026485,"{0: 13, 1: 1, 2: 0, 3: 1, 4: 0}",1
93,False,"{'a': 0.1, 'e': 0.39851904108451414}",25,0,-55.1318188310462,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
94,False,"{'a': 0.1, 'e': 0.3945537103716011}",25,19,-13.75832361560367,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
95,False,"{'a': 0.1, 'e': 0.3906278353585211}",20,0,-15.522686370395977,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
96,False,"{'a': 0.1, 'e': 0.3867410234545012}",20,0,-11.868679528045407,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
97,False,"{'a': 0.1, 'e': 0.38289288597511206}",25,0,-74.31838109567074,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
98,False,"{'a': 0.1, 'e': 0.37908303810339883}",25,0,-69.12112770581552,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
99,False,"{'a': 0.1, 'e': 0.37531109885139957}",25,10,-26.696556382847234,"{0: 11, 1: 0, 2: 3, 3: 1, 4: 0}",1
100,False,"{'a': 0.1, 'e': 0.3715766910220457}",20,0,-1.870451387530895,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
101,False,"{'a': 0.1, 'e': 0.36787944117144233}",30,17,-15.328697529630295,"{0: 10, 1: 1, 2: 1, 3: 1, 4: 0}",1
102,False,"{'a': 0.1, 'e': 0.3642189795715233}",30,0,-66.38007803807454,"{0: 26, 1: 0, 2: 0, 3: 3, 4: 1}",0
103,False,"{'a': 0.1, 'e': 0.3605949401730783}",20,0,-12.097475847807813,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
104,False,"{'a': 0.1, 'e': 0.3570069605691474}",20,0,18.740202133711385,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
105,False,"{'a': 0.1, 'e': 0.35345468195878016}",25,0,-2.529641134152895,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
106,False,"{'a': 0.1, 'e': 0.3499377491111553}",25,0,-29.637262745602136,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
107,False,"{'a': 0.1, 'e': 0.3464558103300574}",20,0,-5.853175887080784,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
108,False,"{'a': 0.1, 'e': 0.34300851741870664}",25,0,-50.1475646751836,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
109,False,"{'a': 0.1, 'e': 0.3395955256449391}",30,0,-4.807730066133873,"{0: 26, 1: 2, 2: 1, 3: 1, 4: 0}",0
110,False,"{'a': 0.1, 'e': 0.33621649370673334}",20,0,-50.74408992817484,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
111,False,"{'a': 0.1, 'e': 0.33287108369807955}",25,6,5.341822554133838,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
112,False,"{'a': 0.1, 'e': 0.32955896107518906}",20,0,-50.46061292090829,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
113,False,"{'a': 0.1, 'e': 0.32627979462303947}",20,0,6.951739701302715,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
114,False,"{'a': 0.1, 'e': 0.3230332564222529}",30,0,25.02398202050619,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
115,False,"{'a': 0.1, 'e': 0.31981902181630384}",25,10,-22.42116104392278,"{0: 12, 1: 0, 2: 2, 3: 1, 4: 0}",1
116,False,"{'a': 0.1, 'e': 0.31663676937905316}",20,14,-13.373701939649795,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
117,False,"{'a': 0.1, 'e': 0.3134861808826053}",30,8,-18.13145674523132,"{0: 18, 1: 1, 2: 2, 3: 1, 4: 0}",1
118,False,"{'a': 0.1, 'e': 0.31036694126548503}",25,0,-43.537755018358524,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
119,False,"{'a': 0.1, 'e': 0.30727873860113125}",25,2,8.51276295217041,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 0}",1
120,False,"{'a': 0.1, 'e': 0.3042212640667041}",20,0,-36.104298184811725,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
121,False,"{'a': 0.1, 'e': 0.30119421191220214}",20,0,-5.964484885600134,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
122,False,"{'a': 0.1, 'e': 0.2981972794298874}",20,0,-10.154960389526623,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
123,False,"{'a': 0.1, 'e': 0.2952301669240142}",30,0,-29.82613221480634,"{0: 25, 1: 3, 2: 1, 3: 0, 4: 1}",0
124,False,"{'a': 0.1, 'e': 0.2922925776808594}",20,7,-3.2671475521750075,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
125,False,"{'a': 0.1, 'e': 0.2893842179390506}",20,13,12.157712733062736,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.1, 'e': 0.2865047968601901}",20,8,10.989128659203772,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
127,False,"{'a': 0.1, 'e': 0.2836540264997704}",30,19,5.584393521892342,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
128,False,"{'a': 0.1, 'e': 0.2808316217783798}",30,0,29.846821301742676,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
129,False,"{'a': 0.1, 'e': 0.27803730045319414}",20,0,4.650599908166605,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
130,False,"{'a': 0.1, 'e': 0.27527078308975234}",30,8,-41.59439816780223,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 1}",1
131,False,"{'a': 0.1, 'e': 0.2725317930340126}",20,0,7.390770660170343,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
132,False,"{'a': 0.1, 'e': 0.2698200563846868}",25,0,-30.11910240151478,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
133,False,"{'a': 0.1, 'e': 0.26713530196585034}",20,1,17.96372554922376,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
134,False,"{'a': 0.1, 'e': 0.26447726129982396}",20,7,-56.428202571471736,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 1}",1
